_id,neighborhood_municipality,bivalent_booster
20916,North Fayette,2044
20917,Garfield (Pittsburgh),747
20918,New Homestead (Pittsburgh),177
20919,Robinson,3103
20920,North Shore (Pittsburgh),61
20921,Swissvale,1872
20922,Chateau (Pittsburgh),12
20923,Aspinwall,913
20924,Marshall,1656
20925,West Oakland (Pittsburgh),217
20926,Troy Hill (Pittsburgh),552
20927,Liberty,370
20928,Castle Shannon,1656
20929,Fineview (Pittsburgh),172
20930,Dravosburg,256
20931,Green Tree,1203
20932,Avalon,921
20933,Glen Osborne,164
20934,Etna,592
20935,Perry South (Pittsburgh),612
20936,Findlay,998
20937,Sewickley Heights,244
20938,Port Vue,491
20939,Esplen (Pittsburgh),30
20940,Swisshelm Park (Pittsburgh),422
20941,Strip District (Pittsburgh),445
20942,Arlington Heights (Pittsburgh),35
20943,West View,1296
20944,Munhall,1919
20945,Fox Chapel,2006
20946,Spring Hill-City View (Pittsburgh),451
20947,North Oakland (Pittsburgh),1346
20948,Leetsdale,197
20949,Versailles,221
20950,Homewood South (Pittsburgh),311
20951,Bloomfield (Pittsburgh),2298
20952,Baldwin Township,458
20953,Homewood North (Pittsburgh),306
20954,Regent Square (Pittsburgh),461
20955,Pleasant Hills,1855
20956,West Homestead,327
20957,Ben Avon Heights,123
20958,Morningside (Pittsburgh),976
20959,South Oakland (Pittsburgh),423
20960,Brackenridge,413
20961,Ohio,1930
20962,Pitcairn,412
20963,Millvale,534
20964,Sewickley,1027
20965,Stowe,723
20966,Upper Hill (Pittsburgh),332
20967,Shaler,6614
20968,Hazelwood (Pittsburgh),639
20969,Forward,246
20970,Bradford Woods,326
20971,Polish Hill (Pittsburgh),295
20972,Terrace Village (Pittsburgh),234
20973,Fairywood (Pittsburgh),163
20974,Fawn,290
20975,Hampton,4791
20976,Mount Lebanon,10902
20977,Braddock Hills,363
20978,East Mckeesport,353
20979,Central Business District (Pittsburgh),902
20980,White Oak,1490
20981,Spring Garden (Pittsburgh),135
20982,Whitehall,3464
20983,Duquesne,530
20984,North Braddock,563
20985,Forest Hills,1953
20986,St. Clair (Pittsburgh),25
20987,Cheswick,438
20988,Mount Oliver Borough,388
20989,Point Breeze North (Pittsburgh),587
20990,Wilkins,1484
20991,Verona,460
20992,Thornburg,136
20993,Undefined (Pittsburgh),14
20994,Baldwin Borough,4233
20995,Rosslyn Farms,126
20996,Southside Slopes (Pittsburgh),635
20997,East Hills (Pittsburgh),346
20998,Arlington (Pittsburgh),197
20999,Marshall-Shadeland (Pittsburgh),538
21000,Richland,2564
21001,Wilmerding,218
21002,Larimer (Pittsburgh),199
21003,Clairton,765
21004,Chalfant,144
21005,Ben Avon,471
21006,West Elizabeth,54
21007,Summer Hill (Pittsburgh),184
21008,Homewood West (Pittsburgh),101
21009,East Allegheny (Pittsburgh),425
21010,Ridgemont (Pittsburgh),92
21011,Ross,7686
21012,Crescent,398
21013,Penn Hills,7999
21014,Glenfield,39
21015,Lincoln-Lemington-Belmar (Pittsburgh),529
21016,South Fayette,2572
21017,Northview Heights (Pittsburgh),125
21018,Sheraden (Pittsburgh),687
21019,Brookline (Pittsburgh),2606
21020,Haysville,13
21021,Homestead,410
21022,Wilkinsburg,2973
21023,Carnegie,1339
21024,Leet,262
21025,Bethel Park,7968
21026,Bluff (Pittsburgh),186
21027,Elliott (Pittsburgh),306
21028,Ingram,621
21029,Wall,72
21030,Indiana,1690
21031,Central Oakland (Pittsburgh),405
21032,Crafton,1181
21033,Harrison,1742
21034,Sharpsburg,538
21035,Pine,3024
21036,Blawnox,316
21037,Elizabeth Township,2163
21038,Rankin,175
21039,Scott,3864
21040,Squirrel Hill South (Pittsburgh),5347
21041,Mt. Oliver (Pittsburgh),80
21042,Allentown (Pittsburgh),301
21043,Duquesne Heights (Pittsburgh),509
21044,West Mifflin,3419
21045,East Deer,247
21046,Bridgeville,854
21047,Bedford Dwellings (Pittsburgh),128
21048,Oakmont,2020
21049,Aleppo,384
21050,Oakdale,250
21051,Greenfield (Pittsburgh),1963
21052,Westwood (Pittsburgh),619
21053,Beltzhoover (Pittsburgh),221
21054,Kilbuck,201
21055,Squirrel Hill North (Pittsburgh),3244
21056,South Versailles,45
21057,West End (Pittsburgh),38
21058,Churchill,1061
21059,Dormont,1827
21060,Elizabeth Borough,194
21061,California-Kirkbride (Pittsburgh),104
21062,Friendship (Pittsburgh),437
21063,Reserve,745
21064,Oakwood (Pittsburgh),222
21065,Central Lawrenceville (Pittsburgh),1339
21066,North Versailles,1702
21067,Sewickley Hills,189
21068,Springdale Township,363
21069,Banksville (Pittsburgh),786
21070,O'Hara,3150
21071,Franklin Park,4050
21072,Neville,154
21073,Manchester (Pittsburgh),436
21074,McCandless,7579
21075,Beechview (Pittsburgh),1353
21076,Upper Saint Clair,5833
21077,East Pittsburgh,188
21078,Harmar,750
21079,Bellevue,1388
21080,West Deer,2506
21081,Plum,5369
21082,Mount Washington (Pittsburgh),1530
21083,Upper Lawrenceville (Pittsburgh),650
21084,Shadyside (Pittsburgh),3584
21085,Lincoln,147
21086,Glassport,510
21087,Allegheny West (Pittsburgh),142
21088,Bon Air (Pittsburgh),139
21089,Bell Acres,316
21090,Collier,1971
21091,Undefined,349
21092,Central Northside (Pittsburgh),798
21093,Edgeworth,446
21094,Tarentum,506
21095,Chartiers City (Pittsburgh),90
21096,Coraopolis,919
21097,McKeesport,2151
21098,Kennedy,1828
21099,East Liberty (Pittsburgh),1207
21100,Carrick (Pittsburgh),1405
21101,Point Breeze (Pittsburgh),2458
21102,Lincoln Place (Pittsburgh),534
21103,Stanton Heights (Pittsburgh),1318
21104,Jefferson Hills,1994
21105,Mcdonald,0
21106,Allegheny Center (Pittsburgh),244
21107,Brighton Heights (Pittsburgh),1440
21108,Heidelberg,198
21109,Edgewood,1206
21110,Trafford,2
21111,Mckees rocks,639
21112,Glen Hazel (Pittsburgh),169
21113,Windgap (Pittsburgh),263
21114,Frazer,162
21115,Perry North (Pittsburgh),763
21116,Springdale Borough,602
21117,Crawford-Roberts (Pittsburgh),459
21118,Moon,4831
21119,Whitaker,141
21120,Crafton Heights (Pittsburgh),670
21121,South Shore (Pittsburgh),35
21122,Middle Hill (Pittsburgh),261
21123,Lower Lawrenceville (Pittsburgh),709
21124,East Carnegie (Pittsburgh),78
21125,Brentwood,1649
21126,Highland Park (Pittsburgh),2307
21127,Emsworth,440
21128,South Park,2731
21129,Monroeville,6511
21130,Southside Flats (Pittsburgh),1251
21131,Pennsbury Village,133
21132,Turtle Creek,649
21133,Braddock,193
21134,Overbrook (Pittsburgh),558
21135,Hays (Pittsburgh),46
21136,Knoxville (Pittsburgh),354
